timestamp,X,Y,Z,obs_id
1596643772122,-0.229715,0.697129,0.441792,0
1596643772156,-0.229517,0.698293,0.442064,0
1596643772190,-0.230330,0.700683,0.442436,0
1596643772222,-0.230703,0.701573,0.441566,0
1596643772255,-0.230937,0.702442,0.441703,0
1596643772288,-0.230201,0.702321,0.440480,0
1596643772326,-0.231191,0.702478,0.441751,0
1596643772358,-0.230510,0.701976,0.441060,0
1596643772390,-0.228754,0.700204,0.438862,0
1596643772424,-0.228027,0.698173,0.438128,0
1596643772457,-0.226525,0.696315,0.436268,0
1596643772489,-0.227676,0.696341,0.438370,0
1596643772523,-0.228234,0.695990,0.439460,0
1596643772554,-0.228419,0.693900,0.440456,0
1596643772587,-0.227806,0.691464,0.440528,0
1596643772621,-0.228262,0.690082,0.442669,0
1596643772654,-0.228713,0.688530,0.444016,0
1596643772687,-0.229212,0.686426,0.446022,0
1596643772725,-0.227689,0.682841,0.446605,0
1596643772760,-0.228255,0.679879,0.448063,0
1596643772794,-0.227294,0.677051,0.448353,0
1596643772829,-0.226513,0.672944,0.449436,0
1596643772862,-0.225122,0.668480,0.449708,0
1596643772897,-0.224188,0.663469,0.451291,0
1596643772932,-0.221888,0.657068,0.452539,0
1596643772965,-0.221226,0.651409,0.454346,0
1596643773000,-0.220194,0.645461,0.457481,0
1596643773033,-0.219032,0.639039,0.461277,0
1596643773068,-0.218771,0.632451,0.467188,0
1596643773115,-0.217566,0.624746,0.473031,0
1596643773147,-0.217284,0.617878,0.480997,0
1596643773180,-0.216739,0.610146,0.490563,0
1596643773212,-0.216168,0.603701,0.498833,0
1596643773244,-0.214954,0.596705,0.507897,0
1596643773274,-0.214533,0.590900,0.517874,0
1596643773307,-0.213027,0.585179,0.527001,0
1596643773340,-0.212747,0.580636,0.536573,0
1596643773373,-0.212849,0.576974,0.547146,0
1596643773406,-0.212492,0.573267,0.556903,0
1596643773438,-0.212434,0.570427,0.565816,0
1596643773473,-0.000165,0.504248,0.128264,0
1596643773513,-0.000282,0.504616,0.128303,0
1596643773548,-0.000161,0.504310,0.128132,0
1596643773579,-0.000152,0.504358,0.128228,0
1596643773610,-0.000129,0.504302,0.128302,0
1596643773641,-0.000165,0.504248,0.128264,0
1596643773672,-0.000188,0.504303,0.128190,0
1596643773706,-0.000330,0.504481,0.128341,0
1596643773740,-0.000188,0.504303,0.128190,0
1596643773773,-0.000291,0.504432,0.128140,0
1596643773806,-0.000248,0.504391,0.128245,0
1596643773838,-0.000314,0.504435,0.128182,0
1596643773873,-0.000248,0.504391,0.128245,0
1596643773915,-0.000248,0.504391,0.128245,0
1596643773950,-0.000108,0.504308,0.128177,0
1596643773986,-0.000361,0.504340,0.128196,0
1596643774022,-0.000204,0.504341,0.128195,0
1596643774054,0.000205,0.504551,0.129016,0
1596643774087,0.000225,0.504671,0.128988,0
1596643774121,-0.000229,0.504193,0.127660,0
1596643774157,0.000704,0.504391,0.128526,0
1596643774190,0.000017,0.504447,0.129072,0
1596643774222,0.000002,0.504101,0.127278,0
1596643774256,0.000049,0.504643,0.129186,0
1596643774289,-0.000055,0.504194,0.128308,0
1596643774326,-0.000612,0.504289,0.128130,0
1596643774362,0.000059,0.504092,0.127557,0
1596643774398,-0.000006,0.504510,0.129073,0
1596643774430,-0.000031,0.503898,0.127365,0
1596643774463,0.000182,0.503981,0.127777,0
1596643774497,0.060520,0.363451,0.249406,0
1596643774530,0.060608,0.363208,0.248116,0
1596643774565,0.064598,0.359310,0.259658,0
1596643774597,0.062656,0.360731,0.263381,0
1596643774631,0.069100,0.355724,0.255203,0
1596643774670,0.065456,0.358207,0.275512,0
1596643774712,0.061952,0.360828,0.275810,0
1596643774748,0.056504,0.365101,0.278217,0
1596643774783,0.052032,0.368592,0.282407,0
1596643774821,0.048286,0.371668,0.282396,0
1596643774855,0.008213,0.416823,0.564030,0
1596643774889,0.002540,0.418181,0.556334,0
1596643774923,-0.000316,0.419198,0.554261,0
1596643774955,-0.009292,0.424795,0.564735,0
1596643774989,-0.008914,0.423484,0.555114,0
1596643775022,-0.017527,0.429214,0.567131,0
1596643775055,-0.021035,0.430568,0.566499,0
1596643775089,-0.019772,0.428909,0.557750,0
1596643775126,-0.022447,0.430709,0.559999,0
1596643775162,-0.026688,0.433290,0.564797,0
1596643775197,-0.030763,0.435900,0.569742,0
1596643775231,-0.032938,0.437459,0.573806,0
1596643775263,-0.039031,0.441443,0.581189,0
1596643775295,-0.040961,0.442997,0.587251,0
1596643775327,-0.047393,0.447124,0.595536,0
1596643775364,-0.069969,0.460467,0.613506,0
1596643775398,-0.073420,0.463152,0.622977,0
1596643775431,-0.078131,0.466233,0.631039,0
1596643775466,-0.084356,0.470303,0.639601,0
1596643775497,-0.089877,0.473970,0.648819,0
1596643775530,-0.095340,0.477311,0.656062,0
1596643775562,-0.101986,0.481337,0.663351,0
1596643775597,-0.108260,0.485261,0.671585,0
1596643775630,-0.113644,0.488657,0.680205,0
1596643775663,0.431217,0.036560,-0.278857,0
1596643775695,0.448562,0.020946,-0.310924,0
1596643775727,-0.162255,0.530713,0.513282,0
1596643775761,-0.166349,0.534208,0.515879,0
1596643775797,0.398497,0.067022,-0.214929,0
1596643775832,-0.224112,0.556263,0.728652,0
1596643775869,-0.228167,0.558877,0.734738,0
1596643775916,-0.230239,0.560208,0.736794,0
1596643775955,-0.216188,0.550420,0.734864,0
1596643775990,0.256268,0.201383,0.025685,0
1596643776023,0.240509,0.215399,0.044336,0
1596643776056,0.250220,0.206867,0.025317,0
1596643776089,0.241382,0.214549,0.039038,0
1596643776123,0.228552,0.226312,0.082279,0
1596643776157,0.244088,0.212276,0.032266,0
1596643776191,0.213508,0.239840,0.112186,0
1596643776228,0.233728,0.221477,0.049356,0
1596643776263,0.230494,0.225236,0.087187,0
1596643776304,0.235867,0.220038,0.079924,0
1596643776340,0.188503,0.261956,0.161489,0
1596643776379,0.190222,0.260310,0.156081,0
1596643776414,0.175888,0.272440,0.177704,0
1596643776448,0.175513,0.272515,0.176211,0
1596643776480,0.200496,0.251121,0.133576,0
1596643776514,0.201160,0.250415,0.133340,0
1596643776548,0.198027,0.253299,0.137587,0
1596643776582,0.203917,0.248258,0.128977,0
1596643776615,0.204597,0.247662,0.127760,0
1596643776648,0.206697,0.246224,0.125029,0
1596643776681,0.208916,0.243913,0.120898,0
1596643776727,0.202259,0.249679,0.131387,0
1596643776773,0.204994,0.247169,0.126301,0
1596643776813,0.205618,0.246595,0.125582,0
1596643776854,0.208536,0.244148,0.121698,0
1596643776889,0.201706,0.250069,0.131518,0
1596643776923,0.204540,0.247540,0.126598,0
1596643776956,0.198679,0.252684,0.136403,0
1596643776990,0.205653,0.246672,0.125574,0
1596643777023,0.207561,0.245463,0.123369,0
1596643777057,0.205415,0.246903,0.126420,0
1596643777089,0.197307,0.254202,0.139769,0
1596643777126,0.198350,0.253011,0.136875,0
1596643777161,0.206337,0.246136,0.124663,0
1596643777195,0.201144,0.250550,0.131416,0
1596643777225,0.203626,0.248441,0.128132,0
1596643777257,0.201030,0.250487,0.131395,0
1596643777290,0.200066,0.251603,0.133192,0
1596643777322,0.196250,0.254552,0.138057,0
1596643777356,0.199247,0.252197,0.134648,0
1596643777390,0.190691,0.259507,0.147794,0
1596643777423,0.194570,0.256055,0.141074,0
1596643777459,0.191395,0.259179,0.145445,0
1596643777503,0.164275,0.281443,0.186831,0
1596643777540,0.146544,0.296090,0.213349,0
1596643777582,0.137088,0.303655,0.222646,0
1596643777614,0.135372,0.304996,0.222442,0
1596643777647,0.119924,0.316306,0.223615,0
1596643777679,0.116131,0.319141,0.223690,0
1596643777711,0.097471,0.333848,0.220915,0
1596643777743,0.082584,0.345764,0.243247,0
1596643777780,0.080291,0.347171,0.244619,0
1596643777813,0.082095,0.346328,0.239144,0
1596643777847,0.068683,0.356259,0.257269,0
1596643777881,0.080536,0.346837,0.256159,0
1596643777926,0.067189,0.357690,0.259622,0
1596643777970,0.071550,0.353984,0.254352,0
1596643778003,0.076447,0.350163,0.247679,0
1596643778038,0.069958,0.355217,0.256011,0
1596643778073,0.069528,0.355565,0.256077,0
1596643778106,0.068302,0.356531,0.256972,0
1596643778139,0.068399,0.356490,0.256116,0
1596643778175,0.069832,0.355139,0.256965,0
1596643778206,0.075640,0.350860,0.250331,0
1596643778246,0.079443,0.347794,0.246533,0
1596643778282,0.081629,0.346594,0.245330,0
1596643778325,0.104538,0.328339,0.216750,0
1596643778359,0.100339,0.331537,0.223128,0
1596643778391,0.099625,0.332099,0.223784,0
1596643778423,0.109178,0.325091,0.210070,0
1596643778457,0.082421,0.345493,0.243050,0
1596643778489,0.098552,0.333427,0.222457,0
1596643778522,0.075790,0.350674,0.289233,0
1596643778556,0.079750,0.347653,0.248324,0
1596643778587,0.090000,0.340117,0.231813,0
1596643778622,0.075489,0.351065,0.249676,0
1596643778655,0.078316,0.348681,0.247356,0
1596643778688,0.075013,0.351304,0.250683,0
1596643778725,0.065655,0.358527,0.259599,0
1596643778758,0.067358,0.357220,0.258890,0
1596643778791,0.062147,0.361166,0.266068,0
1596643778824,0.054041,0.367330,0.276016,0
1596643778857,0.060486,0.362549,0.267930,0
1596643778890,0.058617,0.363747,0.271562,0
1596643778925,0.053987,0.367592,0.271750,0
1596643778962,0.052914,0.368255,0.274864,0
1596643778996,0.000487,0.504056,0.128362,0
1596643779030,0.000388,0.504095,0.128289,0
1596643779061,0.000221,0.504016,0.127743,0
1596643779094,0.000091,0.504094,0.127940,0
1596643779129,-0.000019,0.504144,0.127812,0
1596643779162,0.000164,0.504269,0.128839,0
1596643779194,0.000037,0.504153,0.127860,0
1596643779227,-0.000048,0.504154,0.127720,0
1596643779262,0.000002,0.504093,0.127666,0
1596643779297,0.000417,0.504237,0.128374,0
1596643779330,-0.000399,0.504376,0.128244,0
1596643779363,0.000080,0.504163,0.127769,0
1596643779394,-0.000318,0.504318,0.128511,0
1596643779428,0.000190,0.504129,0.127881,0
1596643779463,0.000063,0.504413,0.128935,0
1596643779498,0.000097,0.504261,0.127670,0
1596643779531,0.000355,0.504304,0.128211,0
1596643779562,-0.000320,0.504384,0.128228,0
1596643779594,0.000453,0.504240,0.128065,0
1596643779626,0.000114,0.504778,0.129016,0
1596643779660,-0.000283,0.504327,0.128053,0
1596643779694,-0.000159,0.504468,0.128211,0
1596643779731,0.000023,0.504027,0.127670,0
1596643779764,-0.000144,0.504253,0.128139,0
1596643779799,0.000004,0.504337,0.128374,0
1596643779836,-0.000099,0.504379,0.128155,0
1596643779870,-0.000078,0.504483,0.128356,0
1596643779913,-0.000108,0.504308,0.128177,0
1596643779947,-0.000223,0.504239,0.127998,0
1596643779981,0.000172,0.504530,0.128803,0
1596643780014,0.000008,0.504180,0.127818,0
1596643780047,-0.000231,0.504535,0.128197,0
1596643780080,-0.000311,0.504613,0.128216,0
1596643780117,-0.000342,0.504704,0.128359,0
1596643780155,-0.000248,0.504391,0.128245,0
1596643780188,-0.000297,0.504652,0.128307,0
1596643780221,-0.000373,0.504522,0.128236,0
1596643780250,-0.000267,0.504289,0.128049,0
1596643780282,0.000151,0.504574,0.129036,0
1596643780326,-0.000160,0.504300,0.127977,0
1596643780365,-0.000398,0.504564,0.128255,0
1596643780398,0.000289,0.504473,0.128839,0
